b 1	-50.000	0.750	6.694
b 2	-50.000	1.500	6.787
b 3	-50.000	2.250	6.887
b 4	-50.000	3.000	6.998
b 5	-50.000	3.750	7.121
b 6	-50.000	4.500	7.261
b 7	-50.000	5.250	7.422
b 8	-50.000	6.000	7.612
b 9	-50.000	6.750	7.846
b 10	-50.000	7.500	8.143
b 11	-50.000	8.250	8.539
wl 3	-50.000	9.000	12.091
wl 4	-50.000	9.000	11.455
wl 5	-50.000	8.997	10.818
wl 6	-50.000	8.990	10.182
wl 7	-50.000	8.961	9.545
wl 8	-50.000	8.755	8.909
wl 9	-50.000	7.773	8.273
wl 10	-50.000	6.085	7.636
wl 11	-50.000	3.015	7.000
Edge: Hull, Top	-50.000	0.000	6.603
Edge: Hull, Bottom	-50.000	9.000	12.400
b 1	-45.000	0.750	5.194
b 2	-45.000	1.500	5.646
b 3	-45.000	2.250	5.865
b 4	-45.000	3.000	6.045
b 5	-45.000	3.750	6.222
b 6	-45.000	4.500	6.412
b 7	-45.000	5.250	6.629
b 8	-45.000	6.000	6.888
b 9	-45.000	6.750	7.213
b 10	-45.000	7.500	7.640
b 11	-45.000	8.250	8.229
DWL	-45.000	5.157	6.600
wl 3	-45.000	9.000	12.091
wl 4	-45.000	9.000	11.455
wl 5	-45.000	8.998	10.818
wl 6	-45.000	8.990	10.182
wl 7	-45.000	8.964	9.545
wl 8	-45.000	8.827	8.909
wl 9	-45.000	8.296	8.273
wl 10	-45.000	7.494	7.636
wl 11	-45.000	6.280	7.000
wl 12	-45.000	4.317	6.364
wl 13	-45.000	1.748	5.727
wl 14	-45.000	0.681	5.091
wl 15	-45.000	0.552	4.455
wl 16	-45.000	0.576	3.818
wl 17	-45.000	0.607	3.182
wl 18	-45.000	0.617	2.545
wl 19	-45.000	0.583	1.909
wl 20	-45.000	0.451	1.273
Edge: Hull, Top	-45.000	0.000	0.818
Edge: Hull, Bottom	-45.000	9.000	12.400
b 1	-40.000	0.750	0.429
b 2	-40.000	1.500	2.187
b 3	-40.000	2.250	3.797
b 4	-40.000	3.000	4.424
b 5	-40.000	3.750	4.855
b 6	-40.000	4.500	5.223
b 7	-40.000	5.250	5.582
b 8	-40.000	6.000	5.969
b 9	-40.000	6.750	6.427
b 10	-40.000	7.500	7.011
b 11	-40.000	8.250	7.812
DWL	-40.000	6.994	6.600
wl 3	-40.000	9.000	12.091
wl 4	-40.000	9.000	11.455
wl 5	-40.000	8.998	10.818
wl 6	-40.000	8.991	10.182
wl 7	-40.000	8.969	9.545
wl 8	-40.000	8.882	8.909
wl 9	-40.000	8.578	8.273
wl 10	-40.000	8.108	7.636
wl 11	-40.000	7.487	7.000
wl 12	-40.000	6.656	6.364
wl 13	-40.000	5.542	5.727
wl 14	-40.000	4.224	5.091
wl 15	-40.000	3.047	4.455
wl 16	-40.000	2.269	3.818
wl 17	-40.000	1.833	3.182
wl 18	-40.000	1.594	2.545
wl 19	-40.000	1.434	1.909
wl 20	-40.000	1.260	1.273
wl 21	-40.000	0.941	0.636
Edge: Hull, Top	-40.000	0.000	0.140
Edge: Hull, Bottom	-40.000	9.000	12.400
b 1	-35.000	0.750	0.106
b 2	-35.000	1.500	0.377
b 3	-35.000	2.250	0.917
b 4	-35.000	3.000	1.798
b 5	-35.000	3.750	2.598
b 6	-35.000	4.500	3.213
b 7	-35.000	5.250	3.764
b 8	-35.000	6.000	4.328
b 9	-35.000	6.750	4.980
b 10	-35.000	7.500	5.823
b 11	-35.000	8.250	7.009
DWL	-35.000	8.022	6.600
wl 3	-35.000	9.000	12.091
wl 4	-35.000	9.000	11.455
wl 5	-35.000	8.998	10.818
wl 6	-35.000	8.993	10.182
wl 7	-35.000	8.977	9.545
wl 8	-35.000	8.929	8.909
wl 9	-35.000	8.790	8.273
wl 10	-35.000	8.548	7.636
wl 11	-35.000	8.245	7.000
wl 12	-35.000	7.877	6.364
wl 13	-35.000	7.426	5.727
wl 14	-35.000	6.863	5.091
wl 15	-35.000	6.157	4.455
wl 16	-35.000	5.325	3.818
wl 17	-35.000	4.459	3.182
wl 18	-35.000	3.693	2.545
wl 19	-35.000	3.091	1.909
wl 20	-35.000	2.576	1.273
wl 21	-35.000	1.921	0.636
Edge: Hull, Top	-35.000	0.000	0.018
Edge: Hull, Bottom	-35.000	9.000	12.400
b 1	-30.000	0.750	0.025
b 2	-30.000	1.500	0.092
b 3	-30.000	2.250	0.201
b 4	-30.000	3.000	0.364
b 5	-30.000	3.750	0.614
b 6	-30.000	4.500	1.011
b 7	-30.000	5.250	1.539
b 8	-30.000	6.000	2.120
b 9	-30.000	6.750	2.792
b 10	-30.000	7.500	3.717
b 11	-30.000	8.250	5.306
DWL	-30.000	8.623	6.600
wl 3	-30.000	9.000	12.091
wl 4	-30.000	9.000	11.455
wl 5	-30.000	8.999	10.818
wl 6	-30.000	8.995	10.182
wl 7	-30.000	8.987	9.545
wl 8	-30.000	8.966	8.909
wl 9	-30.000	8.920	8.273
wl 10	-30.000	8.834	7.636
wl 11	-30.000	8.713	7.000
wl 12	-30.000	8.565	6.364
wl 13	-30.000	8.387	5.727
wl 14	-30.000	8.173	5.091
wl 15	-30.000	7.907	4.455
wl 16	-30.000	7.564	3.818
wl 17	-30.000	7.105	3.182
wl 18	-30.000	6.495	2.545
wl 19	-30.000	5.735	1.909
wl 20	-30.000	4.885	1.273
wl 21	-30.000	3.802	0.636
Edge: Hull, Top	-30.000	0.000	0.000
Edge: Hull, Bottom	-30.000	9.000	12.400
b 1	-25.000	0.750	0.004
b 2	-25.000	1.500	0.015
b 3	-25.000	2.250	0.033
b 4	-25.000	3.000	0.058
b 5	-25.000	3.750	0.093
b 6	-25.000	4.500	0.147
b 7	-25.000	5.250	0.239
b 8	-25.000	6.000	0.433
b 9	-25.000	6.750	0.848
b 10	-25.000	7.500	1.507
b 11	-25.000	8.250	2.815
DWL	-25.000	8.873	6.600
wl 3	-25.000	9.000	12.091
wl 4	-25.000	9.000	11.455
wl 5	-25.000	8.999	10.818
wl 6	-25.000	8.998	10.182
wl 7	-25.000	8.994	9.545
wl 8	-25.000	8.986	8.909
wl 9	-25.000	8.971	8.273
wl 10	-25.000	8.944	7.636
wl 11	-25.000	8.904	7.000
wl 12	-25.000	8.852	6.364
wl 13	-25.000	8.789	5.727
wl 14	-25.000	8.714	5.091
wl 15	-25.000	8.623	4.455
wl 16	-25.000	8.510	3.818
wl 17	-25.000	8.361	3.182
wl 18	-25.000	8.150	2.545
wl 19	-25.000	7.815	1.909
wl 20	-25.000	7.269	1.273
wl 21	-25.000	6.424	0.636
Edge: Hull, Top	-25.000	0.000	0.000
Edge: Hull, Bottom	-25.000	9.000	12.400
b 1	-20.000	0.750	0.000
b 2	-20.000	1.500	0.001
b 3	-20.000	2.250	0.002
b 4	-20.000	3.000	0.004
b 5	-20.000	3.750	0.009
b 6	-20.000	4.500	0.015
b 7	-20.000	5.250	0.027
b 8	-20.000	6.000	0.048
b 9	-20.000	6.750	0.097
b 10	-20.000	7.500	0.260
b 11	-20.000	8.250	0.857
DWL	-20.000	8.965	6.600
wl 3	-20.000	9.000	12.091
wl 4	-20.000	9.000	11.455
wl 5	-20.000	9.000	10.818
wl 6	-20.000	8.999	10.182
wl 7	-20.000	8.998	9.545
wl 8	-20.000	8.996	8.909
wl 9	-20.000	8.991	8.273
wl 10	-20.000	8.984	7.636
wl 11	-20.000	8.974	7.000
wl 12	-20.000	8.960	6.364
